"","Depart","Arrivee","HeureDepart","HeureArrivee","ALheure","Retard","EnsembleMessage","date"
"102","PARIS-ST-LAZARE","CHERBOURG","17h59","21h15","A l'heure",0,"","15 mai 2024 Ré"
"103","PARIS-ST-LAZARE","CAEN","18h08","20h21","A l'heure",0,"","15 mai 2024 Ré"
"104","PARIS-ST-LAZARE","SERQUIGNY","18h30","20h20","Non",8,"","15 mai 2024 Ré"
"105","PARIS-ST-LAZARE","CHERBOURG","18h59","22h20","A l'heure",0,"","15 mai 2024 Ré"
"106","PARIS-ST-LAZARE","TROUVILLE-DEAUVILLE","19h08","21h23","A l'heure",0,"","15 mai 2024 Ré"
"107","PARIS-ST-LAZARE",NA,"19h30","20h49","A l'heure",0,"","15 mai 2024 Ré"
"108","PARIS-ST-LAZARE","CAEN","19h59","22h02","Non",11,"Conséquence du heurt d'un chevreuil par le train n°3324 entre Lecaude et Lisieux","15 mai 2024 Ré"
"109","PARIS-ST-LAZARE",NA,"21h00","22h00","A l'heure",0,"","15 mai 2024 Ré"
"110","ARGENTAN","PARIS-VAUGIRARD","06h12","08h16","A l'heure",0,"","15 mai 2024 Ré"
"111","GRANVILLE","PARIS-MONTPARNASSE","05h56","09h17","A l'heure",0,"","15 mai 2024 Ré"
"112","GRANVILLE","PARIS-MONTPARNASSE","09h00","12h06","A l'heure",0,"","15 mai 2024 Ré"
"113","ARGENTAN","PARIS-VAUGIRARD","12h12","14h15","A l'heure",0,"","15 mai 2024 Ré"
"114","GRANVILLE","PARIS-MONTPARNASSE","11h56","15h06","A l'heure",0,"","15 mai 2024 Ré"
"115","GRANVILLE","PARIS-MONTPARNASSE","15h53","19h15","A l'heure",0,"","15 mai 2024 Ré"
"116","GRANVILLE","PARIS-MONTPARNASSE","18h38","22h06","A l'heure",0,"","15 mai 2024 Ré"
"117","PARIS-MONTPARNASSE","GRANVILLE","07h32","10h53","A l'heure",0,"","15 mai 2024 Ré"
"118","PARIS-MONTPARNASSE",NA,"07h32","07h32","A l'heure",0,"PONTORSON MONT ST 07h32 11h21 A l'heure","15 mai 2024 Ré"
"119","PARIS-MONTPARNASSE","ARGENTAN","09h45","11h40","A l'heure",0,"","15 mai 2024 Ré"
"120","PARIS-MONTPARNASSE","GRANVILLE","10h54","13h54","A l'heure",0,"","15 mai 2024 Ré"
"121","PARIS-MONTPARNASSE","GRANVILLE","13h54","17h00","A l'heure",0,"","15 mai 2024 Ré"
"122","PARIS-VAUGIRARD","GRANVILLE","17h13","20h39","A l'heure",0,"","15 mai 2024 Ré"
"123","PARIS-MONTPARNASSE","ARGENTAN","18h13","20h21","A l'heure",0,"","15 mai 2024 Ré"
"124","PARIS-MONTPARNASSE","GRANVILLE","19h43","23h05","Non",8,"","15 mai 2024 Ré"
"125","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","05h14","06h54","Non",7,"","16 mai 2024 Ré"
"126","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","05h43","07h18","A l'heure",0,"","16 mai 2024 Ré"
"127","LE HAVRE","PARIS-ST-LAZARE","05h17","07h39","A l'heure",0,"","16 mai 2024 Ré"
"128","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","06h04","07h51","A l'heure",0,"","16 mai 2024 Ré"
"129","VERNON-GIVERNY","PARIS-ST-LAZARE","07h02","08h08","A l'heure",0,"","16 mai 2024 Ré"
"130","ROUEN-RIVE-DROITE","PARIS-ST-LAZARE","06h33","08h16","A l'heure",0,"","16 mai 2024 Ré"
"131","VERNON-GIVERNY","PARIS-ST-LAZARE","07h22","08h28","A l'heure",0,"","16 mai 2024 Ré"
